date,amount,target_allocation,allocation,unallocated,positions,cash
2018-01-10,5000.0,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",5000.0
2018-01-11,5000.0,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.187664 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.097344
 0.      ]",0.02642600000000017,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.13000000000085
2018-01-12,4995.500000000001,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.01123011 0.06939846 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00153738 0.01981583 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.18879592 0.09150235 0.
 0.         0.         0.         0.         0.         0.
 0.         0.12330297 0.         0.         0.         0.
 0.         0.         0.         0.         0.09414473 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00129316 0.         0.         0.         0.         0.
 0.         0.02218997 0.04850566 0.         0.0372255  0.0648864
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02314883 0.         0.         0.01531578
 0.         0.         0.         0.06113502 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10012211 0.        ]",0.026449804824342116,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.13000000000108
2018-01-15,5042.660000000002,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.01098627 0.06733351 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0015468  0.01966224 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.19810973 0.09093415 0.
 0.         0.         0.         0.         0.         0.
 0.         0.12061095 0.         0.         0.         0.
 0.         0.         0.         0.         0.09370055 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00126521 0.         0.         0.         0.         0.
 0.         0.0223394  0.04789734 0.         0.03670285 0.0640535
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02284509 0.         0.         0.01526972
 0.         0.         0.         0.06106896 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09947131 0.        ]",0.026202440775305424,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.1300000000017
2018-01-16,5034.500000000002,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.01069818 0.06973086 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00150958 0.01968418 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.18924421 0.09215414 0.
 0.         0.         0.         0.         0.         0.
 0.         0.12273711 0.         0.         0.         0.
 0.         0.         0.         0.         0.09453769 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00128712 0.         0.         0.         0.         0.
 0.         0.02338862 0.04853511 0.         0.03686563 0.06370444
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02349389 0.         0.         0.01549111
 0.         0.         0.         0.06087    0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09982322 0.        ]",0.02624491012017116,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.13000000000176
2018-01-17,4969.890000000002,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.01082117 0.07145832 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00152116 0.01991795 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.17450688 0.09346283 0.
 0.         0.         0.         0.         0.         0.
 0.         0.1266024  0.         0.         0.         0.
 0.         0.         0.         0.         0.09658161 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00128775 0.         0.         0.         0.         0.
 0.         0.02408504 0.0494679  0.         0.03756622 0.06330925
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02355787 0.         0.         0.01589371
 0.         0.         0.         0.06292896 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10044488 0.        ]",0.026586101503252912,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.13000000000167
2018-01-18,5024.730000000002,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.01100557 0.07287556 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00155232 0.01980206 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.17886135 0.09194524 0.
 0.         0.         0.         0.         0.         0.
 0.         0.12576198 0.         0.         0.         0.
 0.         0.         0.         0.         0.09482102 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00127768 0.         0.         0.         0.         0.
 0.         0.02310572 0.0486653  0.         0.0371005  0.06360143
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02308582 0.         0.         0.01582175
 0.         0.         0.         0.06182422 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10259656 0.        ]",0.02629594027937876,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.1300000000029
2018-01-19,4989.430000000004,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.0109271  0.07349938 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00154727 0.02004237 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.17819871 0.09264585 0.
 0.         0.         0.         0.         0.         0.
 0.         0.12443105 0.         0.         0.         0.
 0.         0.         0.         0.         0.09520126 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00128271 0.         0.         0.         0.         0.
 0.         0.02302868 0.04923809 0.         0.03747923 0.06268051
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02348966 0.         0.         0.01579339
 0.         0.         0.         0.06147997 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.1025528  0.        ]",0.026481982911876423,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.1300000000037
2018-01-22,4954.730000000003,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.01075336 0.07419577 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00158233 0.02099004 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.17474212 0.09368825 0.
 0.         0.         0.         0.         0.         0.
 0.         0.12609365 0.         0.         0.         0.
 0.         0.         0.         0.         0.09485885 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00128766 0.         0.         0.         0.         0.
 0.         0.02406791 0.04928624 0.         0.03772153 0.06035849
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02413048 0.         0.         0.01564162
 0.         0.         0.         0.06318205 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10075221 0.        ]",0.026667447065733763,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.13000000000312
2018-01-23,4924.470000000003,"[0.       0.       0.       0.       0.       0.       0.       0.011596
 0.068856 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.001544 0.0198   0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.192736 0.0913   0.       0.       0.
 0.       0.       0.       0.       0.       0.1256   0.       0.
 0.       0.       0.       0.       0.       0.       0.09434  0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.0013   0.       0.       0.       0.       0.       0.       0.02214
 0.048462 0.       0.037392 0.06536  0.       0.       0.       0.
 0.       0.       0.       0.       0.023248 0.       0.       0.015558
 0.       0.       0.       0.06207  0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.099372
 0.      ]","[0.         0.         0.         0.         0.         0.
 0.         0.01100626 0.0744933  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00156768 0.02152313 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.17498939 0.09443656 0.
 0.         0.         0.         0.         0.         0.
 0.         0.1238712  0.         0.         0.         0.
 0.         0.         0.         0.         0.09646723 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00129557 0.         0.         0.         0.         0.
 0.         0.0242158  0.04993634 0.         0.03801424 0.05995772
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02408381 0.         0.         0.01574992
 0.         0.         0.         0.06311339 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09844714 0.        ]",0.026831313826666148,"[ 0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  4.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 37.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  0.  0.  5.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0. 15.  3.  0.  2. 38.
  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  1.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0. 48.  0.]",132.13000000000272
